epoch_ns,gpu,power_mw,temperature_c,sm_clock_mhz,mem_clock_mhz,gpu_util_percent,memory_util_percent
1784445425286350371,1,107708,36,2865,13801,16,8
1784445425336360012,0,119312,33,2932,13801,16,7
1784445425336360012,1,107708,36,2865,13801,16,8
1784445425386352323,0,119312,33,2932,13801,16,7
1784445425386352323,1,107708,36,2865,13801,16,8
1784445425436360029,0,119312,33,2932,13801,16,7
1784445425436360029,1,107708,36,2865,13801,16,8
1784445425486349485,0,119312,33,2932,13801,16,7
1784445425486349485,1,107708,36,2865,13801,16,8
1784445425536359527,0,119312,33,2932,13801,16,7
1784445425536359527,1,107708,36,2865,13801,16,8
1784445425586351827,0,119312,33,2932,13801,16,7
1784445425586351827,1,107708,36,2865,13801,16,8
1784445425636359824,0,119312,33,2932,13801,16,7
1784445425636359824,1,116167,36,2865,13801,16,7
1784445425686354581,0,119312,33,2932,13801,16,7
1784445425686354581,1,116167,36,2865,13801,16,7
1784445425736360697,0,121067,33,2932,13801,17,8
1784445425736360697,1,116167,36,2865,13801,16,7
1784445425786350014,0,121067,33,2932,13801,17,8
1784445425786350014,1,116167,36,2865,13801,16,7
1784445425836359693,0,121067,33,2932,13801,17,8
1784445425836359693,1,116167,36,2865,13801,16,7
1784445425886355509,0,121067,33,2932,13801,17,8
1784445425886355509,1,116167,36,2865,13801,16,7
1784445425936361497,0,121067,33,2932,13801,17,8
1784445425936361497,1,116167,36,2865,13801,16,7
1784445425986350628,0,121067,33,2932,13801,17,8
1784445425986350628,1,116167,36,2865,13801,16,7
1784445426036359297,0,121067,33,2932,13801,17,8
1784445426036359297,1,116167,36,2865,13801,16,7
1784445426086349872,0,121067,33,2932,13801,17,8
1784445426086349872,1,116167,36,2865,13801,16,7
1784445426136366600,0,121067,33,2932,13801,17,8
1784445426136366600,1,117612,36,2857,13801,17,8
1784445426186355166,0,121067,33,2932,13801,17,8
1784445426186355166,1,117612,36,2857,13801,17,8
1784445426236360716,0,122854,34,2932,13801,17,8
1784445426236360716,1,117612,36,2857,13801,17,8
1784445426286353057,0,122854,34,2932,13801,17,8
1784445426286353057,1,117612,36,2857,13801,17,8
1784445426336360185,0,122854,34,2932,13801,17,8
1784445426336360185,1,117612,36,2857,13801,17,8
1784445426386349246,0,122854,34,2932,13801,17,8
1784445426386349246,1,117612,36,2857,13801,17,8
1784445426436360042,0,122854,34,2932,13801,17,8
1784445426436360042,1,117612,36,2857,13801,17,8
1784445426486352159,0,122854,34,2932,13801,17,8
1784445426486352159,1,117612,36,2857,13801,17,8
1784445426536359786,0,122854,34,2932,13801,17,8
1784445426536359786,1,117612,36,2857,13801,17,8
1784445426586349000,0,122854,34,2932,13801,17,8
1784445426586349000,1,117612,36,2857,13801,17,8
1784445426636360964,0,122854,34,2932,13801,17,8
1784445426636360964,1,119036,36,2857,13801,17,8
1784445426686352485,0,122854,34,2932,13801,17,8
1784445426686352485,1,119036,36,2857,13801,17,8
1784445426736360340,0,123738,34,2925,13801,18,9
1784445426736360340,1,119036,36,2857,13801,17,8
1784445426786349429,0,123738,34,2925,13801,18,9
1784445426786349429,1,119036,36,2857,13801,17,8
1784445426836359827,0,123738,34,2925,13801,18,9
1784445426836359827,1,119036,36,2857,13801,17,8
1784445426886348623,0,123738,34,2925,13801,18,9
1784445426886348623,1,119036,36,2857,13801,17,8
1784445426936363202,0,123738,34,2925,13801,18,9
1784445426936363202,1,119036,36,2857,13801,17,8
1784445426986351677,0,123738,34,2925,13801,18,9
1784445426986351677,1,119036,36,2857,13801,17,8
1784445427036359336,0,123738,34,2925,13801,18,9
1784445427036359336,1,119036,36,2857,13801,17,8
1784445427086357195,0,123738,34,2925,13801,18,9
1784445427086357195,1,119036,36,2857,13801,17,8
1784445427136361104,0,123738,34,2925,13801,18,9
1784445427136361104,1,120271,36,2857,13801,17,8
1784445427186361732,0,123738,34,2925,13801,18,9
1784445427186361732,1,120271,36,2857,13801,17,8
1784445427236360300,0,123868,34,2932,13801,17,8
1784445427236360300,1,120271,36,2857,13801,17,8
1784445427286359955,0,123868,34,2932,13801,17,8
1784445427286359955,1,120271,36,2857,13801,17,8
1784445427336359612,0,123868,34,2932,13801,17,8
1784445427336359612,1,120271,36,2857,13801,17,8
1784445427386361120,0,123868,34,2932,13801,17,8
1784445427386361120,1,120271,36,2857,13801,17,8
1784445427436362451,0,123868,34,2932,13801,17,8
1784445427436362451,1,120271,36,2857,13801,17,8
1784445427486360105,0,123868,34,2932,13801,17,8
1784445427486360105,1,120271,36,2857,13801,17,8
1784445427536359692,0,123868,34,2932,13801,17,8
1784445427536359692,1,120271,36,2857,13801,17,8
1784445427586362196,0,123868,34,2932,13801,17,8
1784445427586362196,1,120271,36,2857,13801,17,8
1784445427636360052,0,123868,34,2932,13801,17,8
1784445427636360052,1,120146,36,2857,13801,17,8
1784445427686362814,0,123868,34,2932,13801,17,8
1784445427686362814,1,120146,36,2857,13801,17,8
1784445427736359568,0,123625,34,2925,13801,17,8
1784445427736359568,1,120146,36,2857,13801,17,8
1784445427786360120,0,123625,34,2925,13801,17,8
1784445427786360120,1,120146,36,2857,13801,17,8
1784445427836360001,0,123625,34,2925,13801,17,8
1784445427836360001,1,120146,36,2857,13801,17,8
1784445427886360849,0,123625,34,2925,13801,17,8
1784445427886360849,1,120146,36,2857,13801,17,8
1784445427936361554,0,123625,34,2925,13801,17,8
1784445427936361554,1,120146,36,2857,13801,17,8
1784445427986362905,0,123625,34,2925,13801,17,8
1784445427986362905,1,120146,36,2857,13801,17,8
1784445428036360359,0,123625,34,2925,13801,17,8
1784445428036360359,1,120146,36,2857,13801,17,8
1784445428086359772,0,123625,34,2925,13801,17,8
1784445428086359772,1,120146,36,2857,13801,17,8
1784445428136359204,0,123625,34,2925,13801,17,8
1784445428136359204,1,119965,36,2857,13801,16,8
1784445428186361591,0,123625,34,2925,13801,17,8
1784445428186361591,1,119965,36,2857,13801,16,8
1784445428236361068,0,123980,34,2932,13801,17,9
1784445428236361068,1,119965,36,2857,13801,16,8
1784445428286361744,0,123980,34,2932,13801,17,9
1784445428286361744,1,119965,36,2857,13801,16,8
1784445428336360084,0,123980,34,2932,13801,17,9
1784445428336360084,1,119965,36,2857,13801,16,8
1784445428386362211,0,123980,34,2932,13801,17,9
1784445428386362211,1,119965,36,2857,13801,16,8
1784445428436359644,0,123980,34,2932,13801,17,9
1784445428436359644,1,119965,36,2857,13801,16,8
1784445428486360363,0,123980,34,2932,13801,17,9
1784445428486360363,1,119965,36,2857,13801,16,8
1784445428536361552,0,123980,34,2932,13801,17,9
1784445428536361552,1,119965,36,2857,13801,16,8
1784445428586360097,0,123980,34,2932,13801,17,9
1784445428586360097,1,119965,36,2857,13801,16,8
1784445428636361071,0,123980,34,2932,13801,17,9
1784445428636361071,1,120067,36,2857,13801,17,8
1784445428686359428,0,123980,34,2932,13801,17,9
1784445428686359428,1,120067,36,2857,13801,17,8
1784445428736360992,0,124156,34,2932,13801,17,8
1784445428736360992,1,120067,36,2857,13801,17,8
1784445428786360322,0,124156,34,2932,13801,17,8
1784445428786360322,1,120067,36,2857,13801,17,8
1784445428836359477,0,124156,34,2932,13801,17,8
1784445428836359477,1,120067,36,2857,13801,17,8
1784445428886360630,0,124156,34,2932,13801,17,8
1784445428886360630,1,120067,36,2857,13801,17,8
1784445428936363585,0,124156,34,2932,13801,17,8
1784445428936363585,1,120067,36,2857,13801,17,8
1784445428986360698,0,124156,34,2932,13801,17,8
1784445428986360698,1,120067,36,2857,13801,17,8
1784445429036362470,0,124156,34,2932,13801,17,8
1784445429036362470,1,120067,36,2857,13801,17,8
1784445429086359489,0,124156,34,2932,13801,17,8
1784445429086359489,1,120067,36,2857,13801,17,8
1784445429136362161,0,124156,34,2932,13801,17,8
1784445429136362161,1,120751,37,2857,13801,18,9
1784445429186359570,0,124156,34,2932,13801,17,8
1784445429186359570,1,120751,37,2857,13801,18,9
1784445429236361057,0,124078,34,2932,13801,17,8
1784445429236361057,1,120751,37,2857,13801,18,9
1784445429286362091,0,124078,34,2932,13801,17,8
1784445429286362091,1,120751,37,2857,13801,18,9
1784445429336364374,0,124078,34,2932,13801,17,8
