block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
3,256,AWQ,length,GPTQ,1,1,21,1784445478679940176,6,1784445461124751819,1784445478680249069,1784445461122315600,277
3,256,AWQ,length,GPTQ,1,1,27,1784445478679188085,7,1784445461125075970,1784445478680249069,1784445461122315600,283
4,256,GPTQ,length,AWQ,1,0,31,1784445497117358844,0,1784445479830955629,1784445497120005749,1784445479830816857,287
4,256,GPTQ,length,AWQ,1,0,27,1784445497119499376,1,1784445479831197303,1784445497120005749,1784445479830816857,283
4,256,GPTQ,length,AWQ,1,0,29,1784445497119702822,2,1784445479831434502,1784445497120005749,1784445479830816857,285
4,256,GPTQ,length,AWQ,1,0,23,1784445497119144891,3,1784445479831710810,1784445497120005749,1784445479830816857,279
4,256,GPTQ,length,AWQ,1,0,19,1784445497119557887,4,1784445479832072067,1784445497120005749,1784445479830816857,275
4,256,GPTQ,length,AWQ,1,0,24,1784445497119080756,5,1784445479832384345,1784445497120005749,1784445479830816857,280
4,256,GPTQ,length,AWQ,1,0,21,1784445497119320297,6,1784445479832582160,1784445497120005749,1784445479830816857,277
4,256,GPTQ,length,AWQ,1,0,27,1784445497119634155,7,1784445479832827841,1784445497120005749,1784445479830816857,283
4,256,GPTQ,length,GPTQ,1,1,31,1784445497227235973,0,1784445479681013320,1784445497230248094,1784445479680861013,287
4,256,GPTQ,length,GPTQ,1,1,27,1784445497229885824,1,1784445479681311437,1784445497230248094,1784445479680861013,283
4,256,GPTQ,length,GPTQ,1,1,29,1784445497229828149,2,1784445479681573778,1784445497230248094,1784445479680861013,285
4,256,GPTQ,length,GPTQ,1,1,23,1784445497229743561,3,1784445479681829187,1784445497230248094,1784445479680861013,279
4,256,GPTQ,length,GPTQ,1,1,19,1784445497229938561,4,1784445479682145170,1784445497230248094,1784445479680861013,275
4,256,GPTQ,length,GPTQ,1,1,24,1784445497229683498,5,1784445479682466104,1784445497230248094,1784445479680861013,280
4,256,GPTQ,length,GPTQ,1,1,21,1784445497229990503,6,1784445479682738531,1784445497230248094,1784445479680861013,277
4,256,GPTQ,length,GPTQ,1,1,27,1784445497229214937,7,1784445479683024494,1784445497230248094,1784445479680861013,283
5,256,AWQ,length,AWQ,1,0,31,1784445515552276222,0,1784445498230918761,1784445515554386133,1784445498230660340,287
5,256,AWQ,length,AWQ,1,0,27,1784445515552191709,1,1784445498231195016,1784445515554386133,1784445498230660340,283
5,256,AWQ,length,AWQ,1,0,29,1784445515553672429,2,1784445498231442605,1784445515554386133,1784445498230660340,285
5,256,AWQ,length,AWQ,1,0,23,1784445515554071055,3,1784445498231682287,1784445515554386133,1784445498230660340,279
5,256,AWQ,length,AWQ,1,0,19,1784445515553869209,4,1784445498232009207,1784445515554386133,1784445498230660340,275
5,256,AWQ,length,AWQ,1,0,24,1784445515553368177,5,1784445498232315478,1784445515554386133,1784445498230660340,280
5,256,AWQ,length,AWQ,1,0,21,1784445515553951250,6,1784445498232620847,1784445515554386133,1784445498230660340,277
5,256,AWQ,length,AWQ,1,0,27,1784445515554012123,7,1784445498232864246,1784445515554386133,1784445498230660340,283
5,256,AWQ,length,GPTQ,1,1,31,1784445515764878982,0,1784445498380983533,1784445515767410818,1784445498380843003,287
5,256,AWQ,length,GPTQ,1,1,27,1784445515766509954,1,1784445498381228464,1784445515767410818,1784445498380843003,283
5,256,AWQ,length,GPTQ,1,1,29,1784445515767127653,2,1784445498381471375,1784445515767410818,1784445498380843003,285
5,256,AWQ,length,GPTQ,1,1,23,1784445515766570416,3,1784445498381744205,1784445515767410818,1784445498380843003,279
5,256,AWQ,length,GPTQ,1,1,19,1784445515767007044,4,1784445498382157276,1784445515767410818,1784445498380843003,275
5,256,AWQ,length,GPTQ,1,1,24,1784445515766449488,5,1784445498382435322,1784445515767410818,1784445498380843003,280
5,256,AWQ,length,GPTQ,1,1,21,1784445515767069072,6,1784445498382673985,1784445515767410818,1784445498380843003,277
5,256,AWQ,length,GPTQ,1,1,27,1784445515766016724,7,1784445498382890384,1784445515767410818,1784445498380843003,283
6,256,GPTQ,length,AWQ,2,1,31,1784445712492722121,0,1784445695311429464,1784445712495318710,1784445695311295764,287
6,256,GPTQ,length,AWQ,2,1,27,1784445712494366134,1,1784445695311666577,1784445712495318710,1784445695311295764,283
6,256,GPTQ,length,AWQ,2,1,29,1784445712494717382,2,1784445695311895022,1784445712495318710,1784445695311295764,285
6,256,GPTQ,length,AWQ,2,1,23,1784445712494778824,3,1784445695312141305,1784445712495318710,1784445695311295764,279
6,256,GPTQ,length,AWQ,2,1,19,1784445712494942878,4,1784445695312480960,1784445712495318710,1784445695311295764,275
6,256,GPTQ,length,AWQ,2,1,24,1784445712494649812,5,1784445695312732932,1784445712495318710,1784445695311295764,280
6,256,GPTQ,length,AWQ,2,1,21,1784445712495044278,6,1784445695312997727,1784445712495318710,1784445695311295764,277
6,256,GPTQ,length,AWQ,2,1,27,1784445712494996831,7,1784445695313309611,1784445712495318710,1784445695311295764,283
6,256,GPTQ,length,GPTQ,2,0,31,1784445712448445794,0,1784445695161495382,1784445712451667787,1784445695161344485,287
