block,completion_tokens,dispatch_first,finish_reason,format,phase,physical_gpu,prompt_tokens,request_end_ns,request_index,request_start_ns,session_end_ns,session_start_ns,total_tokens
3,512,AWQ,length,GPTQ,1,1,21,1784446337366944025,6,1784446302497007458,1784446337368097088,1784446302494687517,533
3,512,AWQ,length,GPTQ,1,1,27,1784446337367136034,7,1784446302497204798,1784446337368097088,1784446302494687517,539
4,512,GPTQ,length,AWQ,1,0,31,1784446373044141411,0,1784446338518662759,1784446373047391185,1784446338518526314,543
4,512,GPTQ,length,AWQ,1,0,27,1784446373046699620,1,1784446338518892014,1784446373047391185,1784446338518526314,539
4,512,GPTQ,length,AWQ,1,0,29,1784446373047025372,2,1784446338519136436,1784446373047391185,1784446338518526314,541
4,512,GPTQ,length,AWQ,1,0,23,1784446373046316558,3,1784446338519381047,1784446373047391185,1784446338518526314,535
4,512,GPTQ,length,AWQ,1,0,19,1784446373046759771,4,1784446338519765706,1784446373047391185,1784446338518526314,531
4,512,GPTQ,length,AWQ,1,0,24,1784446373046946065,5,1784446338519978962,1784446373047391185,1784446338518526314,536
4,512,GPTQ,length,AWQ,1,0,21,1784446373046637557,6,1784446338520218054,1784446373047391185,1784446338518526314,533
4,512,GPTQ,length,AWQ,1,0,27,1784446373047083935,7,1784446338520408021,1784446373047391185,1784446338518526314,539
4,512,GPTQ,length,GPTQ,1,1,31,1784446373168645200,0,1784446338368729356,1784446373171866428,1784446338368570635,543
4,512,GPTQ,length,GPTQ,1,1,27,1784446373171195383,1,1784446338369002994,1784446373171866428,1784446338368570635,539
4,512,GPTQ,length,GPTQ,1,1,29,1784446373171580276,2,1784446338369257171,1784446373171866428,1784446338368570635,541
4,512,GPTQ,length,GPTQ,1,1,23,1784446373171376603,3,1784446338369536501,1784446373171866428,1784446338368570635,535
4,512,GPTQ,length,GPTQ,1,1,19,1784446373171315706,4,1784446338369774715,1784446373171866428,1784446338368570635,531
4,512,GPTQ,length,GPTQ,1,1,24,1784446373171436065,5,1784446338370059626,1784446373171866428,1784446338368570635,536
4,512,GPTQ,length,GPTQ,1,1,21,1784446373171258146,6,1784446338370363862,1784446373171866428,1784446338368570635,533
4,512,GPTQ,length,GPTQ,1,1,27,1784446373171514289,7,1784446338370603103,1784446373171866428,1784446338368570635,539
5,512,AWQ,length,AWQ,1,0,31,1784446408720821543,0,1784446374172477520,1784446408721187067,1784446374172226519,543
5,512,AWQ,length,AWQ,1,0,27,1784446408717738526,1,1784446374172736153,1784446408721187067,1784446374172226519,539
5,512,AWQ,length,AWQ,1,0,29,1784446408720889837,2,1784446374173013345,1784446408721187067,1784446374172226519,541
5,512,AWQ,length,AWQ,1,0,23,1784446408720655302,3,1784446374173314662,1784446408721187067,1784446374172226519,535
5,512,AWQ,length,AWQ,1,0,19,1784446408720715657,4,1784446374173561410,1784446408721187067,1784446374172226519,531
5,512,AWQ,length,AWQ,1,0,24,1784446408720466229,5,1784446374173935277,1784446408721187067,1784446374172226519,536
5,512,AWQ,length,AWQ,1,0,21,1784446408720404934,6,1784446374174168578,1784446408721187067,1784446374172226519,533
5,512,AWQ,length,AWQ,1,0,27,1784446408720206413,7,1784446374174401516,1784446408721187067,1784446374172226519,539
5,512,AWQ,length,GPTQ,1,1,31,1784446409093774361,0,1784446374322474097,1784446409096937820,1784446374322352847,543
5,512,AWQ,length,GPTQ,1,1,27,1784446409096096811,1,1784446374322684889,1784446409096937820,1784446374322352847,539
5,512,AWQ,length,GPTQ,1,1,29,1784446409096276354,2,1784446374322891117,1784446409096937820,1784446374322352847,541
5,512,AWQ,length,GPTQ,1,1,23,1784446409096658020,3,1784446374323094689,1784446409096937820,1784446374322352847,535
5,512,AWQ,length,GPTQ,1,1,19,1784446409096591070,4,1784446374323395846,1784446409096937820,1784446374322352847,531
5,512,AWQ,length,GPTQ,1,1,24,1784446409095806869,5,1784446374323699298,1784446409096937820,1784446374322352847,536
5,512,AWQ,length,GPTQ,1,1,21,1784446409096469450,6,1784446374323968438,1784446409096937820,1784446374322352847,533
5,512,AWQ,length,GPTQ,1,1,27,1784446409096531975,7,1784446374324241403,1784446409096937820,1784446374322352847,539
6,512,GPTQ,length,AWQ,2,1,31,1784446623027059875,0,1784446588479300158,1784446623029577744,1784446588479166172,543
6,512,GPTQ,length,AWQ,2,1,27,1784446623029309916,1,1784446588479538033,1784446623029577744,1784446588479166172,539
6,512,GPTQ,length,AWQ,2,1,29,1784446623028815536,2,1784446588479781611,1784446623029577744,1784446588479166172,541
6,512,GPTQ,length,AWQ,2,1,23,1784446623028734330,3,1784446588480038044,1784446623029577744,1784446588479166172,535
6,512,GPTQ,length,AWQ,2,1,19,1784446623029060778,4,1784446588480457299,1784446623029577744,1784446588479166172,531
6,512,GPTQ,length,AWQ,2,1,24,1784446623029010669,5,1784446588480662822,1784446623029577744,1784446588479166172,536
6,512,GPTQ,length,AWQ,2,1,21,1784446623029251315,6,1784446588480901849,1784446623029577744,1784446588479166172,533
6,512,GPTQ,length,AWQ,2,1,27,1784446623028871490,7,1784446588481141013,1784446623029577744,1784446588479166172,539
6,512,GPTQ,length,GPTQ,2,0,31,1784446622941349440,0,1784446588329371682,1784446622944671083,1784446588329213972,543
